judul_indo,clean_text,cluster
STUDI PRECAST PANEL LANTAI CLC ( BETON RINGAN SELULER ),precast panel lantai beton ringan seluler,10
"PENGARUH PENGGUNAAN SERBUK KUARSA, BENTUK DAN  TEKANAN TERHADAP SIFAT FISIS DAN MEKANIS PAVING BLOCK",serbuk kuarsa bentuk tekanan sifat fisis mekanis paving block,10
"PERASAAN MANFAAT BUDIDAYA, PEMANENAN, DAN PENGELOLAAN PASCA PANEN KARET ALAM PETANI",perasaan manfaat budidaya pemanenan pengelolaan pasca panen karet alam petani,10
PEMANFAATAN TUMBUHAN BERKHASIAT OBAT DALAM MENYEMBUHKAN PENYAKIT,tumbuhan berkhasiat obat menyembuhkan penyakit,6
PELAKSANAAN PENELITIAN TINDAKAN KELAS PADA MATA PELAJARAN IPA/BIOLOGI DI SMP/ SMA,penelitian tindakan kelas,2
RANCANG BANGUN SISTEM APLIKASI ETALASE DIGITAL MARKETING UNTUK PEMASARAN STICK UDANG UMKM MENTARI BERBASIS WEBSITE,rancang bangun aplikasi etalase digital marketing pemasaran stick udang website,7
"Optimalisasi ekstraksi, rasio, konsentrasi pelarut terhadap total kandungan flavonoid dan aktivitas antioksidan buas-buas (Premna serratifolia Linn.) dengan metode DPPH.",optimalisasi ekstraksi rasio konsentrasi pelarut total kandungan flavonoid antioksidan buas buas premna serratifolia linn dpph,10
Pengaruh Pemberian Biochar Kotoran Ayam  Terhadap Ketersediaan hara NPK dan Pertumbuhan  Tanaman Cabe Rawit di Tanah Alluvial,pemberian biochar kotoran ayam ketersediaan hara npk pertumbuhan tanaman cabe rawit alluvial,10
PAKAT PEKARA (SEBUAH PENYELESAIAN SENGKETA ALTERNATIFMELALUI PENDEKATAN HUKUM ADAT),pakat pekara penyelesaian sengketa alternatifmelalui hukum,10
LAPORAN KEMAJUAN PENELITIAN PENERAPAN KONSEP PLACEMAKING PADA PERANCANGAN RUANG-RUANG PUBLIK DI LINGKUNGAN FAKULTAS TEKNIK SEBAGAI RUANG KOLABORASI DAN KREATIVITAS MAHASISWA,kemajuan penelitian konsep placemaking ruang ruang publik lingkungan ruang kolaborasi kreativitas,10
Formulasi Pembangunan Pembangkit Listrik Tenaga Sampah Di Kabupaten Kubu Raya dalam Perspektif Politik Lingkungan,formulasi pembangunan pembangkit listrik tenaga sampah perspektif politik lingkungan,10
LAPORAN KEMAJUAN UJI EFEKTIFITAS ANTIBAKTERI EKSTRAK NADES DAUN PACAR AIR TERHADAP BAKTERI ECOLI DAN S. AUREUS,kemajuan uji efektifitas antibakteri ekstrak nades daun pacar bakteri ecoli aureus,10
PERANAN BADAN NARKOTIKA NASIONAL KABUPATEN  (BNNK) DALAM PROGRAM PENCEGAHAN DAN PEMBERANTASAN PENYALAHGUNAAN DAN PEREDARAN GELAP NARKOBA (P4GN) DI KABUPATEN  MEMPAWAH,badan narkotika pencegahan pemberantasan penyalahgunaan peredaran gelap narkoba p gn,10
Karakteristik Curah Hujan pada Lahan Gambut Kawasan Pesisir Lintang Utara dan Selatan Kalimantan Barat,karakteristik curah hujan gambut,10
Solusi Aliran Daya Tiga-Fasa Dari Sistem Distribusi Dengan Pembangkit Tersebar (Active Distribution System),aliran daya fasa distribusi pembangkit tersebar active distribution system,10
ANALISIS YURIDIS TERHADAP FRASA MEMPUNYAI KEKUATAN MENGIKAT PERATURAN PERUNDANG UNDANGAN DALAM UNDANG-UNDANG NOMOR 12 TAHUN 2011  TENTANG PEMBENTUKAN  PERATURAN PERUNDANG-UNDANGAN,yuridis frasa kekuatan mengikat peraturan perundang undangan undang undang pembentukan peraturan perundang undangan,10
PENERAPAN MODEL RECIPROCAL TEACHING DENGAN PENDEKATAN METAKOGNITIF UNTUK MENINGKATKAN KEMAMPUAN LITERASI MATEMATIS MAHASISWA (Studi Kasus Mahasiswa Pendidikan Matematika FKIP Untan dan   ISBI Singkawang),reciprocal teaching metakognitif literasi matematis,10
"POLA PENDIDIKAN EKONOMI DALAM KELUARGA PADA  MASYARAKAT PERBATASAN INDONESIA-MALAYSIA (Studi Pada Masyarakat Desa Entikong, Kecamatan Entikong)",ekonomi keluarga masyarakat perbatasan masyarakat,8
"POLA PERILAKU EKONOMI MASYARAKAT DESA ENTIKONG,  KAWASAN PERBATASAN INDONESIA-MALAYSIA",perilaku ekonomi masyarakat perbatasan,8
